epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.5972,1.73362,8.64173,1.83069,0.57235,0.58085,0.53052,0.33939,1.21243,17.3703,1.24263,0.00024,0.00024,0.00024
2,11.0435,1.41946,3.31431,1.37567,0.96945,0.59893,0.7456,0.46604,1.43747,5.30889,1.33297,0.00049505,0.00049505,0.00049505
3,17.3094,1.46648,2.15947,1.43638,0.68099,0.60377,0.61898,0.35791,1.79941,3.32479,1.9249,0.000744952,0.000744952,0.000744952
4,22.8511,1.3544,1.39334,1.39656,0.20861,0.58491,0.17064,0.06248,2.24339,7.44984,3.8774,0.000989706,0.000989706,0.000989706
5,27.9408,1.49081,1.19105,1.46908,0.25682,0.03774,0.01927,0.00871,2.60852,12.2683,5.52123,0.00122931,0.00122931,0.00122931
6,33.2371,1.49367,1.189,1.49485,0.00259,0.03774,0.00059,0.0003,3.21064,78.3399,10.0479,0.00146377,0.00146377,0.00146377
7,38.3182,1.51158,1.21002,1.49419,6e-05,0.01887,3e-05,2e-05,4.65275,inf,38.2403,0.00169308,0.00169308,0.00169308
8,43.4744,1.47196,1.25852,1.45984,0.00236,0.20755,0.00113,0.0003,3.68293,253.306,74.6766,0.0018614,0.0018614,0.0018614
9,48.4656,1.51022,1.18195,1.54046,0.00145,0.03774,0.0009,0.0002,4.55959,227.086,630.627,0.0018416,0.0018416,0.0018416
10,53.2638,1.51062,1.1024,1.52819,0.16178,0.09434,0.06513,0.04159,2.60468,15.5631,19.8302,0.0018218,0.0018218,0.0018218
11,58.2749,1.46651,1.00935,1.4758,0.44968,0.20755,0.18916,0.10387,2.24914,11.8283,4.51351,0.001802,0.001802,0.001802
12,63.2024,1.52304,1.00095,1.52673,0.25869,0.13208,0.103,0.06045,2.79122,5.08226,20.9016,0.0017822,0.0017822,0.0017822
13,68.0784,1.45408,1.04947,1.48076,0.03394,0.07547,0.00592,0.00241,3.02339,9.90404,6.31335,0.0017624,0.0017624,0.0017624
14,73.0316,1.39332,1.02138,1.40062,0.40815,0.16981,0.15704,0.07734,3.07121,7.89312,4.97737,0.0017426,0.0017426,0.0017426
15,77.9766,1.46888,1.00569,1.47579,0.4441,0.11321,0.10043,0.05189,2.44107,5.90764,3.4434,0.0017228,0.0017228,0.0017228
16,82.7422,1.42458,0.93319,1.47955,0.53821,0.24528,0.32056,0.17233,2.0457,4.51257,2.37797,0.001703,0.001703,0.001703
17,88.9435,1.29882,0.87947,1.35417,0.87146,0.76758,0.86795,0.56214,1.49429,2.43834,1.73973,0.0016832,0.0016832,0.0016832
18,94.2799,1.41085,0.90502,1.40738,0.90881,0.79245,0.86938,0.50803,1.63144,1.42686,1.93871,0.0016634,0.0016634,0.0016634
19,99.3325,1.36377,0.90562,1.3887,0.8703,0.84906,0.86047,0.51503,1.52312,1.54806,1.873,0.0016436,0.0016436,0.0016436
20,104.671,1.36614,0.85798,1.39608,0.85616,0.8985,0.86551,0.53464,1.39026,1.08236,1.66447,0.0016238,0.0016238,0.0016238
21,110.295,1.31596,0.84362,1.36092,0.92569,0.81132,0.89925,0.60693,1.31086,1.27491,1.59303,0.001604,0.001604,0.001604
22,116.867,1.35895,0.87147,1.34545,0.95059,0.83019,0.89551,0.5763,1.42559,1.31796,1.70901,0.0015842,0.0015842,0.0015842
23,122.184,1.33398,0.96537,1.4043,0.96003,0.86792,0.91565,0.61994,1.30374,1.70058,1.54851,0.0015644,0.0015644,0.0015644
24,128.312,1.28556,0.8439,1.3401,0.96065,0.79245,0.8734,0.47301,1.82413,1.45335,2.12437,0.0015446,0.0015446,0.0015446
25,134.35,1.38841,0.91959,1.42907,0.8476,0.86792,0.87439,0.57315,1.32415,1.55546,1.53279,0.0015248,0.0015248,0.0015248
26,140.202,1.33264,0.85418,1.36203,0.93353,0.79501,0.87595,0.54608,1.46643,1.52582,1.74688,0.001505,0.001505,0.001505
27,145.606,1.38337,0.91185,1.44556,0.87943,0.84906,0.86063,0.58392,1.3239,1.26035,1.50555,0.0014852,0.0014852,0.0014852
28,151.404,1.32277,0.88119,1.37576,0.9785,0.85862,0.89868,0.57608,1.40265,0.91609,1.64244,0.0014654,0.0014654,0.0014654
29,156.894,1.27734,0.7894,1.37955,0.99186,0.86792,0.94411,0.62413,1.24728,0.84047,1.48443,0.0014456,0.0014456,0.0014456
30,162.423,1.27873,0.82671,1.35828,0.86502,0.88679,0.92663,0.62289,1.28006,1.21407,1.51046,0.0014258,0.0014258,0.0014258
31,167.525,1.24356,0.79833,1.31072,0.95432,0.7885,0.86372,0.53867,1.38379,1.07454,1.59145,0.001406,0.001406,0.001406
32,172.61,1.17887,0.72483,1.30575,0.80289,0.79245,0.86865,0.58399,1.34025,1.21008,1.54209,0.0013862,0.0013862,0.0013862
33,177.887,1.23538,0.77375,1.30201,0.91102,0.83019,0.9235,0.55048,1.52111,0.98231,1.7358,0.0013664,0.0013664,0.0013664
34,183.013,1.23201,0.73295,1.33163,0.94094,0.90186,0.91785,0.63305,1.22943,0.79083,1.4637,0.0013466,0.0013466,0.0013466
35,188.382,1.20443,0.7406,1.31908,0.92128,0.88329,0.9201,0.60362,1.39339,0.89702,1.65188,0.0013268,0.0013268,0.0013268
36,193.541,1.26071,0.74899,1.3458,0.94462,0.86792,0.93916,0.63344,1.26348,0.82789,1.52035,0.001307,0.001307,0.001307
37,198.836,1.23788,0.7489,1.32198,0.93626,0.86792,0.90066,0.58018,1.3829,0.89406,1.69148,0.0012872,0.0012872,0.0012872
38,204.088,1.18111,0.74618,1.30216,0.91209,0.81132,0.9169,0.62213,1.26189,0.96861,1.51338,0.0012674,0.0012674,0.0012674
39,209.111,1.16503,0.6886,1.28641,0.97775,0.86792,0.95218,0.64285,1.24868,0.69482,1.4609,0.0012476,0.0012476,0.0012476
40,214.728,1.14471,0.69652,1.25805,0.95889,0.90566,0.92149,0.62967,1.35197,0.82688,1.58446,0.0012278,0.0012278,0.0012278
41,219.989,1.14746,0.74761,1.28341,0.95313,0.84906,0.92075,0.62022,1.36076,0.9741,1.60028,0.001208,0.001208,0.001208
