epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.01948,1.41476,3.02107,2.11315,0.89947,0.82692,0.89864,0.66349,0.90565,2.93665,1.50835,0.00024,0.00024,0.00024
2,8.67152,1.12612,1.55676,1.83967,0.99292,0.88462,0.9403,0.69979,0.93707,2.06535,1.60926,0.00049505,0.00049505,0.00049505
3,12.3523,1.19434,1.39171,1.94865,0.95781,0.88462,0.97276,0.70507,0.93345,1.93901,1.70397,0.000744952,0.000744952,0.000744952
4,15.9956,1.15223,1.16994,2.04415,0.90694,0.84615,0.95202,0.71224,0.94674,1.86282,1.85075,0.000989706,0.000989706,0.000989706
5,19.4731,1.15429,1.06046,2.0386,0.93152,0.88462,0.95084,0.71194,0.91411,1.71639,1.84766,0.00122931,0.00122931,0.00122931
6,22.9723,1.17269,1.01712,2.02284,0.97355,0.88462,0.93221,0.67453,1.01995,1.36908,2.23032,0.00146377,0.00146377,0.00146377
7,26.5837,1.16311,0.93911,2.0478,0.91921,0.88462,0.93494,0.6693,1.12388,1.15872,2.01858,0.00169308,0.00169308,0.00169308
8,30.1078,1.09513,0.84033,1.9615,0.93392,0.94231,0.95751,0.63288,1.25365,0.91417,2.22585,0.0018614,0.0018614,0.0018614
9,33.4648,1.24231,0.95997,2.23227,0.93901,0.92308,0.94315,0.66807,1.07201,0.97061,2.10488,0.0018416,0.0018416,0.0018416
10,36.944,1.23349,0.97412,2.10816,0.95099,0.88462,0.95337,0.68157,1.00869,0.81105,2.05266,0.0018218,0.0018218,0.0018218
11,40.3273,1.1428,0.92505,2.11725,1,0.89584,0.94296,0.68135,0.98642,0.79256,2.01235,0.001802,0.001802,0.001802
12,43.6973,1.16873,0.85954,2.08136,0.95384,0.90385,0.94132,0.68995,0.98538,0.94321,2.07428,0.0017822,0.0017822,0.0017822
13,47.1024,1.11129,0.85616,2.01509,1,0.86482,0.94793,0.70167,0.97621,0.95003,1.94536,0.0017624,0.0017624,0.0017624
14,50.5766,1.16172,0.88344,2.00156,0.99425,0.84615,0.96359,0.69599,0.98498,0.74015,2.08587,0.0017426,0.0017426,0.0017426
15,54.0107,1.10401,0.85734,1.98366,0.9767,0.90385,0.95773,0.71004,0.93436,0.7124,1.95687,0.0017228,0.0017228,0.0017228
16,57.4133,1.05905,0.78322,1.8741,0.97892,0.90385,0.96035,0.68843,1.02006,0.65471,2.09048,0.001703,0.001703,0.001703
17,60.8504,1.06843,0.79008,1.92288,0.90019,0.92308,0.93893,0.69342,1.013,0.87046,1.93805,0.0016832,0.0016832,0.0016832
18,64.2539,1.06531,0.76735,1.90716,0.97927,0.90845,0.94773,0.71327,1.01041,0.68232,1.93621,0.0016634,0.0016634,0.0016634
19,67.6628,1.09154,0.81073,1.99704,1,0.8923,0.95544,0.69625,1.05399,0.77846,1.93828,0.0016436,0.0016436,0.0016436
20,71.1923,1.06005,0.77986,1.8355,0.97999,0.94182,0.96218,0.73225,1.03125,0.60853,2.2151,0.0016238,0.0016238,0.0016238
