epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7448,1.45156,2.84879,0.91238,0.56888,0.70936,0.66967,0.43472,1.24146,1.21816,0.86323,0.00012117,0.00012117,0.00012117
2,73.4463,1.18508,1.04441,0.86025,0.86626,0.88288,0.92273,0.58493,1.22585,0.75422,0.85825,0.000220297,0.000220297,0.000220297
3,112.034,1.13271,0.75929,0.84948,0.94511,0.92927,0.97015,0.64486,1.15268,0.61452,0.85036,0.000295005,0.000295005,0.000295005
4,151.681,1.07937,0.65199,0.84392,0.94887,0.94088,0.97419,0.66862,1.09206,0.58577,0.83687,0.00026011,0.00026011,0.00026011
5,193.007,1.05015,0.59245,0.83757,0.9368,0.94677,0.97946,0.69181,1.04092,0.55575,0.83205,0.00022348,0.00022348,0.00022348
6,235.494,0.99248,0.55385,0.83032,0.9638,0.95996,0.98376,0.69706,1.02025,0.52173,0.82608,0.00018685,0.00018685,0.00018685
7,278.211,0.9891,0.53227,0.82831,0.97393,0.97709,0.98937,0.7122,0.97583,0.48304,0.82221,0.00015022,0.00015022,0.00015022
8,321.331,0.93276,0.50146,0.82219,0.97175,0.9708,0.98881,0.72499,0.93541,0.48369,0.82105,0.00011359,0.00011359,0.00011359
9,364.567,0.8939,0.47484,0.81732,0.97791,0.98182,0.98995,0.73534,0.89576,0.45401,0.81502,7.696e-05,7.696e-05,7.696e-05
10,408.362,0.86779,0.46704,0.81439,0.9827,0.97223,0.98984,0.74214,0.85884,0.44469,0.81286,4.033e-05,4.033e-05,4.033e-05
